<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=4be2534bd9157f2915bf99a45a04cac3d74bc906788738a607d6e399e98a2c09 style = "text-decoration: none; color: #009966;">The troubleaker</a> says:</b><span style="color:#009966"><font color = white> Test</font></font></font></span></span>
<br><font size=-3><b><span style="color:#aa8c5a"><a href=?src=[0x3000043];action=name;character=8cb4af0f04f8a5404c13e9a60deead4ef7d635f5c8e18bf4105a272feac055d0 style = "text-decoration: none; color: #aa8c5a;">The starry-eye'd lad</a> asks:</b><span style="color:#aa8c5a"><font color = white> I can pick the first from 2 trees right?</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #009966;">The commanding man</a> says:</b><span style="color:#009966"><font color = white> Anything w/o prereqs ya</font></font></font></span></span>
<br><font size=-3><b><span style="color:#aa8c5a"><a href=?src=[0x3000043];action=name;character=8cb4af0f04f8a5404c13e9a60deead4ef7d635f5c8e18bf4105a272feac055d0 style = "text-decoration: none; color: #aa8c5a;">The starry-eye'd lad</a> says:</b><span style="color:#aa8c5a"><font color = white> tai and shurikenjutsu pls</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #009966;">The commanding man</a> yells:</b><span style="color:#009966"><font color = white> ok!</font></font></font></span></span>
<br><font size=-3><b><span style="color:#aa8c5a"><a href=?src=[0x3000043];action=name;character=8cb4af0f04f8a5404c13e9a60deead4ef7d635f5c8e18bf4105a272feac055d0 style = "text-decoration: none; color: #aa8c5a;">The starry-eye'd lad</a> says:</b><span style="color:#aa8c5a"><font color = white> ty</font></font></font></span></span>
<br><font size=-3><b><span style="color:#aa8c5a"><a href=?src=[0x3000043];action=name;character=8cb4af0f04f8a5404c13e9a60deead4ef7d635f5c8e18bf4105a272feac055d0 style = "text-decoration: none; color: #aa8c5a;">The starry-eye'd lad</a> says:</b><span style="color:#aa8c5a"><font color = white> is there a pp starting incentive or nah</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=ceb0b7c0c1537f1f41d52a6904cbb84fbda5053def7a98721d98619a5a6e491a style = "text-decoration: none; color: #009966;">The unassuming boy</a> says:</b><span style="color:#009966"><font color = white> Bazinga.</font></font></font></span></span>
<br><font size=-3><b><span style="color:#0066ff"><a href=?src=[0x3000043];action=name;character=ceb0b7c0c1537f1f41d52a6904cbb84fbda5053def7a98721d98619a5a6e491a style = "text-decoration: none; color: #0066ff;">The unassuming boy</a> says:</b><span style="color:#0066ff"><font color = white> Test.</font></font></font></span></span>
<br><font size=-3><font size=-4><font color=#a50021><a href=?src=[0x3000043];action=name;character=aff3621fb45a9d3e9181cfa0411b2bfa5cc5c995a1f2498575e6026c105fbe48 style = "text-decoration: none; color: #a50021;">The younger orange-headed boy</a> OOCs<font color = white>: (test)</font></font></font>
<br><font size=-3><font color = white><font color=#9b948d>Test.<br>(<a href=?src=[0x3000043];action=name;character=50e11227de042ecf39eea1a4857efcbb5558ec3ebaad13903bf7ed33945c7907 style = "text-decoration: none; color: #9b948d;">The ashen haired boy</a>)</font></font></font>
<br><font size=-3><b><span style="color:#cc0000"><a href=?src=[0x3000043];action=name;character=aff3621fb45a9d3e9181cfa0411b2bfa5cc5c995a1f2498575e6026c105fbe48 style = "text-decoration: none; color: #cc0000;">The short red-headed boy</a> says:</b><span style="color:#cc0000"><font color = white> /  test</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=72b30ae27456405b6ad78efba8846ff68eb5a47634f626b142d2a93e9baf009f style = "text-decoration: none; color: #009966;">The stern boy</a> asks:</b><span style="color:#009966"><font color = white> Bazoonga?</font></font></font></span></span>
<br><font size=-3><font size=-4><font color=#ff9933><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #ff9933;">The commanding man</a> OOCs<font color = white>: (Someone drop me a single ryo pls rq u will get it back)</font></font></font>
<br><font size=-3><font size=-4><font color=#ff9933><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #ff9933;">The commanding man</a> OOCs<font color = white>: (Someone drop me a single ryo pls rq u will get it back)</font></font></font>
<br><font size=-3><font size=-4><font color=#ff9933><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #ff9933;">The commanding man</a> OOCs<font color = white>: (&lt;3</font></font></font>
<br><font size=-3><font size=-4><font color=#ff9933><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #ff9933;">The commanding man</a> OOCs<font color = white>: (ty</font></font></font>
<br><font size=-3><font size=-4><font color=#009966><a href=?src=[0x3000043];action=name;character=ad2f4208006940146b0b639f6ea6a5b024ace383b70d09954259c15cfeb9b2fd style = "text-decoration: none; color: #009966;">The squinty eyed boy</a> OOCs<font color = white>: (yw</font></font></font>
<br><font size=-3><font size=-4><font color=#ff9933><a href=?src=[0x3000043];action=name;character=3371f867a30ea12a7269e37e40b8b92f14eafa09bf75cf6d759ddda1e5af9044 style = "text-decoration: none; color: #ff9933;">The commanding man</a> OOCs<font color = white>: (LOL</font></font></font>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=af034a183c8007787ebe60b70dd4ce07db58cc1d85621da2b5edbb9339622c14 style = "text-decoration: none; color: #009966;">The aqua-eyed teen</a> says:</b><span style="color:#009966"><font color = white> ye-yeah</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=af034a183c8007787ebe60b70dd4ce07db58cc1d85621da2b5edbb9339622c14 style = "text-decoration: none; color: #009966;">The aqua-eyed teen</a> says:</b><span style="color:#009966"><font color = white> ye-yeah</font></font></font></span></span>
<br><font size=-3><b><span style="color:#009966"><a href=?src=[0x3000043];action=name;character=334481fc4eae677a1aa61dd13e4b9d0be93f39a4735360308f1741bdf79cdfa1 style = "text-decoration: none; color: #009966;">The thoughtful, composed girl</a> says:</b><span style="color:#009966"><font color = white> Starnger</font></font></font></span></span>
